gl_number,model_reaction_id,reaction_name,subsystem,gene_reaction_rule
1002460,r_3149,"PI 4-P phosphatase (1-16:1, 2-18:1), cell envelope",Inositol phosphate metabolism,YNL106C or YOR109W
1002461,r_3150,"PI 4-P phosphatase (1-18:0, 2-18:1), cell envelope",Inositol phosphate metabolism,YNL106C or YOR109W
1002462,r_3151,"PI 4-P phosphatase (1-18:1, 2-18:1), cell envelope",Inositol phosphate metabolism,YNL106C or YOR109W
1002463,r_3152,"PI 4-P phosphatase (1-16:0, 2-16:1), cytoplasm",Inositol phosphate metabolism,YNL106C or YOR109W
1002464,r_3153,"PI 4-P phosphatase (1-16:1, 2-16:1), cytoplasm",Inositol phosphate metabolism,YNL106C or YOR109W
1002465,r_3154,"PI 4-P phosphatase (1-18:0, 2-16:1), cytoplasm",Inositol phosphate metabolism,YNL106C or YOR109W
1002466,r_3155,"PI 4-P phosphatase (1-18:1, 2-16:1), cytoplasm",Inositol phosphate metabolism,YNL106C or YOR109W
1002467,r_3156,"PI 4-P phosphatase (1-16:0, 2-18:1), cytoplasm",Inositol phosphate metabolism,YNL106C or YOR109W
1002468,r_3157,"PI 4-P phosphatase (1-16:1, 2-18:1), cytoplasm",Inositol phosphate metabolism,YNL106C or YOR109W
1002469,r_3158,"PI 4-P phosphatase (1-18:0, 2-18:1), cytoplasm",Inositol phosphate metabolism,YNL106C or YOR109W
1002470,r_3159,"PI 4-P phosphatase (1-18:1, 2-18:1), cytoplasm",Inositol phosphate metabolism,YNL106C or YOR109W
1002471,r_3160,"PI 4-P phosphatase (1-16:0, 2-16:1), ER membrane",Inositol phosphate metabolism,YKL212W
1002472,r_3161,"PI 4-P phosphatase (1-16:1, 2-16:1), ER membrane",Inositol phosphate metabolism,YKL212W
1002473,r_3162,"PI 4-P phosphatase (1-18:0, 2-16:1), ER membrane",Inositol phosphate metabolism,YKL212W
1002474,r_3163,"PI 4-P phosphatase (1-18:1, 2-16:1), ER membrane",Inositol phosphate metabolism,YKL212W
1002475,r_3164,"PI 4-P phosphatase (1-16:0, 2-18:1), ER membrane",Inositol phosphate metabolism,YKL212W
1002476,r_3165,"PI 4-P phosphatase (1-16:1, 2-18:1), ER membrane",Inositol phosphate metabolism,YKL212W
1002477,r_3166,"PI 4-P phosphatase (1-18:0, 2-18:1), ER membrane",Inositol phosphate metabolism,YKL212W
1002478,r_3167,"PI 4-P phosphatase (1-18:1, 2-18:1), ER membrane",Inositol phosphate metabolism,YKL212W
1002479,r_3168,"PI 4-P phosphatase (1-16:0, 2-16:1), Golgi membrane",Inositol phosphate metabolism,YKL212W
1002480,r_3169,"PI 4-P phosphatase (1-16:1, 2-16:1), Golgi membrane",Inositol phosphate metabolism,YKL212W
1002481,r_3170,"PI 4-P phosphatase (1-18:0, 2-16:1), Golgi membrane",Inositol phosphate metabolism,YKL212W
1002482,r_3171,"PI 4-P phosphatase (1-18:1, 2-16:1), Golgi membrane",Inositol phosphate metabolism,YKL212W
1002483,r_3172,"PI 4-P phosphatase (1-16:0, 2-18:1), Golgi membrane",Inositol phosphate metabolism,YKL212W
1002484,r_3173,"PI 4-P phosphatase (1-16:1, 2-18:1), Golgi membrane",Inositol phosphate metabolism,YKL212W
1002485,r_3174,"PI 4-P phosphatase (1-18:0, 2-18:1), Golgi membrane",Inositol phosphate metabolism,YKL212W
1002486,r_3175,"PI 4-P phosphatase (1-18:1, 2-18:1), Golgi membrane",Inositol phosphate metabolism,YKL212W
1002487,r_3176,"PI 3,5-P2 phosphatase (1-16:0, 2-16:1), cell envelope",Inositol phosphate metabolism,YNL106C or YOR109W
1002488,r_3177,"PI 3,5-P2 phosphatase (1-16:1, 2-16:1), cell envelope",Inositol phosphate metabolism,YNL106C or YOR109W
1002489,r_3178,"PI 3,5-P2 phosphatase (1-18:0, 2-16:1), cell envelope",Inositol phosphate metabolism,YNL106C or YOR109W
1002490,r_3179,"PI 3,5-P2 phosphatase (1-18:1, 2-16:1), cell envelope",Inositol phosphate metabolism,YNL106C or YOR109W
1002491,r_3180,"PI 3,5-P2 phosphatase (1-16:0, 2-18:1), cell envelope",Inositol phosphate metabolism,YNL106C or YOR109W
1002492,r_3181,"PI 3,5-P2 phosphatase (1-16:1, 2-18:1), cell envelope",Inositol phosphate metabolism,YNL106C or YOR109W
1002493,r_3182,"PI 3,5-P2 phosphatase (1-18:0, 2-18:1), cell envelope",Inositol phosphate metabolism,YNL106C or YOR109W
1002494,r_3183,"PI 3,5-P2 phosphatase (1-18:1, 2-18:1), cell envelope",Inositol phosphate metabolism,YNL106C or YOR109W
1002495,r_3184,"PI 3,5-P2 phosphatase (1-16:0, 2-16:1), cytoplasm",Inositol phosphate metabolism,YNL106C or YOR109W
1002496,r_3185,"PI 3,5-P2 phosphatase (1-16:1, 2-16:1), cytoplasm",Inositol phosphate metabolism,YNL106C or YOR109W
1002497,r_3186,"PI 3,5-P2 phosphatase (1-18:0, 2-16:1), cytoplasm",Inositol phosphate metabolism,YNL106C or YOR109W
1002498,r_3187,"PI 3,5-P2 phosphatase (1-18:1, 2-16:1), cytoplasm",Inositol phosphate metabolism,YNL106C or YOR109W
1002499,r_3188,"PI 3,5-P2 phosphatase (1-16:0, 2-18:1), cytoplasm",Inositol phosphate metabolism,YNL106C or YOR109W
1002500,r_3189,"PI 3,5-P2 phosphatase (1-16:1, 2-18:1), cytoplasm",Inositol phosphate metabolism,YNL106C or YOR109W
1002501,r_3190,"PI 3,5-P2 phosphatase (1-18:0, 2-18:1), cytoplasm",Inositol phosphate metabolism,YNL106C or YOR109W
1002502,r_3191,"PI 3,5-P2 phosphatase (1-18:1, 2-18:1), cytoplasm",Inositol phosphate metabolism,YNL106C or YOR109W
1002503,r_3192,"PI 4,5-P2 phosphatase (1-16:0, 2-16:1), cell envelope",Inositol phosphate metabolism,YIL002C or YNL106C or YOR109W
1002504,r_3193,"PI 4,5-P2 phosphatase (1-16:1, 2-16:1), cell envelope",Inositol phosphate metabolism,YIL002C or YNL106C or YOR109W
1002505,r_3194,"PI 4,5-P2 phosphatase (1-18:0, 2-16:1), cell envelope",Inositol phosphate metabolism,YIL002C or YNL106C or YOR109W
1002506,r_3195,"PI 4,5-P2 phosphatase (1-18:1, 2-16:1), cell envelope",Inositol phosphate metabolism,YIL002C or YNL106C or YOR109W
