gl_number,model_reaction_id,reaction_name,subsystem,gene_reaction_rule
1000110,r_0001,(R)-lactate:ferricytochrome-c 2-oxidoreductase,Pyruvate metabolism,(YDL174C and YEL039C) or (YDL174C and YJR048W) or (YEL039C and YEL071W) or (YEL071W and YJR048W)
1000111,r_0002,(R)-lactate:ferricytochrome-c 2-oxidoreductase,Pyruvate metabolism,(YDL178W and YEL039C) or (YDL178W and YJR048W)
1000112,r_0003,"(R,R)-butanediol dehydrogenase",Butanoate metabolism,YAL060W
1000113,r_0004,(S)-lactate:ferricytochrome-c 2-oxidoreductase,Pyruvate metabolism,(YEL039C and YML054C) or (YJR048W and YML054C)
1000114,r_0005,"1,3-beta-glucan synthase",Starch and sucrose metabolism,(YPR165W and YLR342W) or (YPR165W and YGR032W) or (YPR165W and YMR306W)
1000115,r_0006,"1,6-beta-glucan synthase",Starch and sucrose metabolism,YGR143W or YPR159W
1000116,r_0007,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase,Histidine metabolism,YIL020C
1000117,r_0012,1-pyrroline-5-carboxylate dehydrogenase,"Alanine, aspartate and glutamate metabolism",YHR037W
1000118,r_0013,"2,3-diketo-5-methylthio-1-phosphopentane degradation reaction",Cysteine and methionine metabolism,YEL038W and YMR009W
1000119,r_0014,"2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase",Riboflavin metabolism,YOL066C
1000120,r_0015,"2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (NADPH)",Riboflavin metabolism,YBR153W
1000121,r_0016,2-aceto-2-hydroxybutanoate synthase,"Valine, leucine and isoleucine metabolism",(YCL009C and YMR108W) or YMR108W
1000122,r_0017,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,Folate biosynthesis,YNL256W
1000123,r_0018,2-aminoadipate transaminase,Lysine metabolism,YER152C or YGL202W or YJL060W
1000124,r_0019,2-dehydropantoate 2-reductase,Pantothenate and coa biosynthesis,YHR063C
1000125,r_0020,2-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,"Phenylalanine, tyrosine and tryptophan biosynthesis",YDR035W or YBR249C
1000126,r_0021,"2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase",Ubiquinone and other terpenoid-quinone biosynthesis,YDR204W and YGR255C and YLR201C and YML110C and YOL096C and YOR125C
1000127,r_0022,2-hexaprenyl-6-methoxyphenol monooxygenase,Ubiquinone and other terpenoid-quinone biosynthesis,YDR204W and YGR255C and YLR201C and YML110C and YOL096C and YOR125C
1000128,r_0023,2-isopropylmalate hydratase,"Valine, leucine and isoleucine metabolism",YGL009C
1000129,r_0024,2-isopropylmalate synthase,"Valine, leucine and isoleucine metabolism",YNL104C or YOR108W
1000130,r_0025,2-isopropylmalate synthase,"Valine, leucine and isoleucine metabolism",YNL104C
1000131,r_0026,2-keto-4-methylthiobutyrate transamination,Cysteine and methionine metabolism,YHR208W or YJR148W or YGL202W or YHR137W
1000132,r_0027,2-methylcitrate dehydratase,Lysine metabolism,YDR234W
1000133,r_0028,2-methylcitrate synthase,Propanoate metabolism,YPR001W
1000134,r_0029,2-oxo-4-methyl-3-carboxypentanoate decarboxylation,"Valine, leucine and isoleucine metabolism",
1000135,r_0030,2-oxo-4-methyl-3-carboxypentanoate decarboxylation,"Valine, leucine and isoleucine metabolism",
1000136,r_0032,"3',5'-bisphosphate nucleotidase",Sulfur metabolism,YOL064C
1000137,r_0033,"3',5'-cyclic-nucleotide phosphodiesterase",Purine metabolism,YGL248W or YOR360C
1000138,r_0034,"3',5'-cyclic-nucleotide phosphodiesterase",Purine metabolism,YOR360C
1000139,r_0035,"3',5'-cyclic-nucleotide phosphodiesterase",Purine metabolism,YOR360C
1000140,r_0036,"3',5'-cyclic-nucleotide phosphodiesterase",Purine metabolism,YOR360C
1000141,r_0037,"3',5'-cyclic-nucleotide phosphodiesterase",Purine metabolism,YOR360C
1000142,r_0038,"3,4-dihydroxy-2-butanone-4-phosphate synthase",Riboflavin metabolism,YDR487C
1000143,r_0039,3-dehydroquinate dehydratase,"Phenylalanine, tyrosine and tryptophan biosynthesis",YDR127W
1000144,r_0040,3-dehydroquinate synthase,"Phenylalanine, tyrosine and tryptophan biosynthesis",YDR127W
1000145,r_0041,3-dehydrosphinganine reductase,Sphingolipid metabolism,YBR265W
1000146,r_0042,3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,"Phenylalanine, tyrosine and tryptophan biosynthesis",YBR249C or YDR035W
1000147,r_0043,"3-hexaprenyl-4,5-dihydroxybenzoate hydroxylase",Ubiquinone and other terpenoid-quinone biosynthesis,YPL252C or YDR376W
1000148,r_0044,3-hexaprenyl-4-hydroxy-5-methoxybenzoate decarboxylase,Ubiquinone and other terpenoid-quinone biosynthesis,YDR538W and YDR539W
1000149,r_0045,3-hydroxy-L-kynurenine hydrolase,Tryptophan metabolism,YLR231C
1000150,r_0057,3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA),Fatty acid degradation,YKR009C
1000151,r_0058,"3-hydroxyanthranilate 3,4-dioxygenase",Tryptophan metabolism,YJR025C
1000152,r_0059,3-isopropylmalate 3-methyltransferase,Complex alcohol metabolism,YER175C
1000153,r_0060,3-isopropylmalate dehydratase,"Valine, leucine and isoleucine metabolism",YGL009C
1000154,r_0061,3-isopropylmalate dehydrogenase,"Valine, leucine and isoleucine metabolism",YCL018W
1000155,r_0062,3-methyl-2-oxobutanoate decarboxylase,Complex alcohol metabolism,YGR087C or YLR044C or YLR134W
1000156,r_0063,3-methyl-2-oxobutanoate hydroxymethyltransferase,Pantothenate and coa biosynthesis,YBR176W
1000157,r_0064,3-methyl-2-oxopentanoate decarboxylase,Complex alcohol metabolism,YDL080C or YGR087C or YLR044C or YLR134W
1000158,r_0065,3-phosphoshikimate 1-carboxyvinyltransferase,"Phenylalanine, tyrosine and tryptophan biosynthesis",YDR127W
1000159,r_0066,4-amino-4-deoxychorismate synthase,Folate biosynthesis,YNR033W
1000160,r_0067,4-aminobenzoate synthase,Folate biosynthesis,YMR289W
1000161,r_0068,4-aminobutyrate transaminase,"Alanine, aspartate and glutamate metabolism",YGR019W
1000162,r_0069,4-hydroxy-L-threonine synthase,Vitamin b6 metabolism,YCR053W
1000163,r_0070,4-hydroxybenzoate formation,Ubiquinone and other terpenoid-quinone biosynthesis,
1000164,r_0072,4-methyl-2-oxopentanoate decarboxylase,Complex alcohol metabolism,YDL080C
1000165,r_0073,4PP-IP5 depyrophosphorylation to IP6,Inositol phosphate metabolism,YLR410W or YOR163W
1000166,r_0074,"4PP-IP5 pyrophosphorylation to 4,5-PP2-IP4",Phosphatidylinositol signaling system,YDR017C
1000167,r_0075,5'-methylthioadenosine phosphorylase,Cysteine and methionine metabolism,YLR017W
1000168,r_0076,5'-nucleotidase (CMP),Nicotinate and nicotinamide metabolism,YER037W or YGL224C
1000169,r_0077,5'-nucleotidase (IMP),Purine metabolism,YOR155C
1000170,r_0078,5'-nucleotidase (UMP),Nicotinate and nicotinamide metabolism,YER037W or YGL224C
1000171,r_0079,5'-phosphoribosylformyl glycinamidine synthetase,Purine metabolism,YGR061C
1000172,r_0080,"5,10-methylenetetrahydrofolate reductase (NADPH)",One carbon pool by folate,(YGL125W and YPL023C) or YGL125W
1000173,r_0081,5-aminolevulinate synthase,Porphyrin and chlorophyll metabolism,YDR232W
1000174,r_0082,"5-diphosphoinositol-1,2,3,4,6-pentakisphosphate diphosphohydrolase",Inositol phosphate metabolism,YOR163W
1000175,r_0083,"5-diphosphoinositol-1,2,3,4,6-pentakisphosphate synthase",Phosphatidylinositol signaling system,YDR017C
1000176,r_0084,5-formethyltetrahydrofolate cyclo-ligase,One carbon pool by folate,YER183C
1000177,r_0085,5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase,Cysteine and methionine metabolism,YER091C
1000178,r_0086,5-methylthio-5-deoxy-D-ribulose 1-phosphate dehydratase,Cysteine and methionine metabolism,YJR024C
1000179,r_0087,5-methylthioribose-1-phosphate isomerase,Cysteine and methionine metabolism,YPR118W
1000180,r_0088,"5PP-IP5 pyrophosphorylation to 4,5-PP2-IP4",Inositol phosphate metabolism,YLR410W
1000181,r_0089,"5PP-IP5 pyrophosphorylation to 5,6-PP2-IP4",Inositol phosphate metabolism,YLR410W
1000182,r_0090,6-phosphofructo-2-kinase,Fructose and mannose metabolism,YIL107C or YOL136C
1000183,r_0091,6-phosphogluconolactonase,Pentose phosphate pathway,YGR248W or YHR163W
1000184,r_0092,6PP-IP5 depyrophosphorylation to IP6,Inositol phosphate metabolism,YLR410W or YOR163W
1000185,r_0093,"6PP-IP5 pyrophosphorylation to 5,6-PP2-IP4",Phosphatidylinositol signaling system,YDR017C
1000186,r_0094,8-amino-7-oxononanoate synthase,Biotin metabolism,
1000187,r_0095,acetaldehyde condensation,Butanoate metabolism,YGR087C or YLR044C or YLR134W
1000188,r_0096,acetohydroxy acid isomeroreductase,"Valine, leucine and isoleucine metabolism",YLR355C
1000189,r_0097,acetolactate synthase,"Valine, leucine and isoleucine metabolism",(YCL009C and YMR108W) or YMR108W
1000190,r_0099,acetyl-CoA ACP transacylase,Fatty acid biosynthesis,YKL192C
1000191,r_0100,acetyl-CoA C-acyltransferase (palmitoyl-CoA),Fatty acid degradation,YIL160C
1000192,r_0101,acetyl-CoA C-acyltransferase (tetracosanoyl-CoA),Fatty acid degradation,YIL160C
1000193,r_0102,acetyl-CoA C-acyltransferase (myristoyl-CoA),Fatty acid degradation,YIL160C
1000194,r_0103,acetyl-CoA C-acetyltransferase,Fatty acid degradation,YPL028W
1000195,r_0104,acetyl-CoA C-acetyltransferase,Fatty acid degradation,YPL028W
1000196,r_0105,acetyl-CoA C-acyltransferase (lauroyl-CoA),Fatty acid degradation,YIL160C
1000197,r_0106,acetyl-CoA C-acyltransferase (octanoyl-CoA),Fatty acid degradation,YIL160C
1000198,r_0107,acetyl-CoA C-acyltransferase (decanoyl-CoA),Fatty acid degradation,YIL160C
1000199,r_0108,acetyl-Coa carboxylase,Fatty acid biosynthesis,YMR207C
1000200,r_0109,"acetyl-CoA carboxylase, reaction",Fatty acid biosynthesis,YDL141W and YNR016C
1000201,r_0111,acetyl-CoA hydrolase,Pyruvate metabolism,YBL015W
1000202,r_0112,acetyl-CoA synthetase,Pyruvate metabolism,YAL054C or YLR153C
1000203,r_0113,acetyl-CoA synthetase,Pyruvate metabolism,YAL054C
1000204,r_0114,acetyl-CoA synthetase nuclear,Pyruvate metabolism,YLR153C
1000205,r_0115,acetylglutamate kinase,Arginine biosynthesis,YER069W
1000206,r_0116,acid phosphatase (secreted),Riboflavin metabolism,YBR093C or YAR071W or YBR092C or YHR215W
1000207,r_0117,aconitase,Propanoate metabolism,YPR002W
1000208,r_0118,acteylornithine transaminase,Arginine biosynthesis,YOL140W
1000209,r_0119,acyl carrier protein synthase,Pantothenate and coa biosynthesis,YPL148C
1000210,r_0120,acyl-CoA oxidase (decanoyl-CoA),Fatty acid degradation,YGL205W
1000211,r_0121,acyl-CoA oxidase (dodecanoyl-CoA),Fatty acid degradation,YGL205W
1000212,r_0122,acyl-CoA oxidase (hexacosanoyl-CoA),Fatty acid degradation,YGL205W
1000213,r_0123,acyl-CoA oxidase (hexadecanoyl-CoA),Fatty acid degradation,YGL205W
1000214,r_0124,acyl-CoA oxidase (octadecanoyl-CoA),Fatty acid degradation,YGL205W
1000215,r_0125,acyl-CoA oxidase (tetradecanoyl-CoA),Fatty acid degradation,YGL205W
1000216,r_0126,"acyl-CoA:sterol acyltransferase (oleoyl-CoA:episterol), ER membrane",Steroid biosynthesis,YCR048W
1000217,r_0127,"acyl-CoA:sterol acyltransferase (oleoyl-CoA:ergosterol), ER membrane",Steroid biosynthesis,YCR048W or YNR019W
1000218,r_0128,"acyl-CoA:sterol acyltransferase (oleoyl-CoA:fecosterol), ER membrane",Steroid biosynthesis,YCR048W
1000219,r_0129,"acyl-CoA:sterol acyltransferase (oleoyl-CoA:lanosterol), ER membrane",Steroid biosynthesis,YCR048W
1000220,r_0130,"acyl-CoA:sterol acyltransferase (oleoyl-CoA:zymosterol), ER membrane",Steroid biosynthesis,YCR048W
1000221,r_0131,"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:episterol), ER membrane",Steroid biosynthesis,YCR048W
1000222,r_0132,"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:ergosterol), ER membrane",Steroid biosynthesis,YCR048W or YNR019W
1000223,r_0133,"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:fecosterol), ER membrane",Steroid biosynthesis,YCR048W
1000224,r_0134,"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:lanosterol), ER membrane",Steroid biosynthesis,YCR048W
1000225,r_0135,"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:zymosterol), ER membrane",Steroid biosynthesis,YCR048W
1000226,r_0137,"acylation of GPI inositol at 2 position, GPI-anchor assembly, step 3",Glycosylphosphatidylinositol (gpi)-anchor biosynthesis,YJL091C
1000227,r_0138,adenine deaminase,Purine metabolism,YNL141W
1000228,r_0139,adenine phosphoribosyltransferase,Purine metabolism,YDR441C or YML022W
1000229,r_0140,adenosine deaminase,Purine metabolism,YNL141W
1000230,r_0142,adenosine kinase,Purine metabolism,YJR105W
1000231,r_0143,adenosine monophosphate deaminase,Purine metabolism,YML035C
1000232,r_0144,adenosylhomocysteinase,Cysteine and methionine metabolism,YER043C
1000233,r_0145,adenosylmethionine decarboxylase,Arginine and proline metabolism,YOL052C
1000234,r_0146,adenosylmethionine-8-amino-7-oxononanoate transaminase,Biotin metabolism,YNR058W
1000235,r_0147,adenylate cyclase,Purine metabolism,YJL005W
1000236,r_0148,adenylate kinase,Purine metabolism,YDL166C or YDR226W
1000237,r_0149,adenylate kinase,Purine metabolism,YER170W
1000238,r_0150,adenylate kinase (GTP),Purine metabolism,YER170W
1000239,r_0151,adenylosuccinate lyase (AICAR),Purine metabolism,YLR359W
1000240,r_0152,adenylosuccinate lyase,Purine metabolism,YLR359W
1000241,r_0153,adenylosuccinate synthase,Purine metabolism,YNL220W
1000242,r_0154,adenylyl-sulfate kinase,Sulfur metabolism,YKL001C
1000243,r_0155,"ADP-ribose 2,3-cyclic phosphodiesterase",Cyclic nucleotide metabolism,YGR247W
1000244,r_0156,alanine glyoxylate aminotransferase,"Alanine, aspartate and glutamate metabolism",YFL030W
1000245,r_0157,alanyl-tRNA synthetase,tRNA metabolism,YOR335C
1000246,r_0158,alcohol acetyltransferase (2-methylbutanol),Complex alcohol metabolism,YGR177C or YOR377W
1000247,r_0159,alcohol acetyltransferase (ethanol),Complex alcohol metabolism,YGR177C or YOR377W
1000248,r_0160,alcohol acetyltransferase (isoamyl alcohol),Complex alcohol metabolism,YGR177C or YOR377W
1000249,r_0161,alcohol acetyltransferase (isobutyl alcohol),Complex alcohol metabolism,YGR177C or YOR377W
1000250,r_0162,alcohol acetyltransferase (phenylethanol alcohol),Complex alcohol metabolism,YGR177C or YOR377W
1000251,r_0163,alcohol dehydrogenase (ethanol to acetaldehyde),Glycolysis / gluconeogenesis,YMR303C
1000252,r_0164,"alcohol dehydrogenase (glycerol, NADP)",Glycerolipid metabolism,YDR368W or YHR104W
1000253,r_0165,mitochondrial alcohol dehydrogenase,Glycolysis / gluconeogenesis,YGL256W or YMR083W
1000254,r_0166,"aldehyde dehydrogenase (2-methylbutanol, NAD)",Complex alcohol metabolism,YBR145W or YDL168W or YOL086C
1000255,r_0167,"aldehyde dehydrogenase (2-methylbutanol, NAD)",Complex alcohol metabolism,YGL256W or YMR083W
1000256,r_0168,"aldehyde dehydrogenase (2-methylbutanol, NADP)",Complex alcohol metabolism,YCR105W or YDR368W or YMR318C
1000257,r_0169,"aldehyde dehydrogenase (2-phenylethanol, NAD)",Phenylalanine metabolism,YBR145W or YDL168W or YOL086C
1000258,r_0170,"aldehyde dehydrogenase (2-phenylethanol, NAD)",Phenylalanine metabolism,YGL256W or YMR083W
1000259,r_0171,"aldehyde dehydrogenase (2-phenylethanol, NADP)",Phenylalanine metabolism,YCR105W or YMR318C
1000260,r_0172,"aldehyde dehydrogenase (3-aminopropanal, NAD)",Beta-alanine metabolism,YMR170C or YMR169C
1000261,r_0173,"aldehyde dehydrogenase (acetaldehyde, NADP)",Glycolysis / gluconeogenesis,YPL061W
1000262,r_0174,"aldehyde dehydrogenase (acetylaldehyde, NAD)",Glycolysis / gluconeogenesis,YOR374W
1000263,r_0175,"aldehyde dehydrogenase (acetylaldehyde, NADP)",Pyruvate metabolism,YER073W or YOR374W
1000264,r_0176,"aldehyde dehydrogenase (indole-3-acetaldehyde, NAD)",Tryptophan metabolism,YOR374W
1000265,r_0177,"aldehyde dehydrogenase (indole-3-acetaldehyde, NADP)",Tryptophan metabolism,YPL061W
1000266,r_0178,"aldehyde dehydrogenase (indole-3-acetaldehyde, NADP)",Tryptophan metabolism,YER073W or YOR374W
1000267,r_0179,"aldehyde dehydrogenase (isoamyl alcohol, NAD)",Complex alcohol metabolism,YBR145W or YDL168W or YOL086C
1000268,r_0180,"aldehyde dehydrogenase (isoamyl alcohol, NAD)",Complex alcohol metabolism,YGL256W or YMR083W
1000269,r_0181,"aldehyde dehydrogenase (isoamyl alcohol, NADP)",Complex alcohol metabolism,YCR105W or YMR318C
1000270,r_0182,"aldehyde dehydrogenase (isobutyl alcohol, NAD)",Complex alcohol metabolism,YBR145W or YDL168W or YOL086C
1000271,r_0183,"aldehyde dehydrogenase (isobutyl alcohol, NAD)",Complex alcohol metabolism,YGL256W or YMR083W
1000272,r_0184,"aldehyde dehydrogenase (isobutyl alcohol, NADP)",Complex alcohol metabolism,YCR105W or YMR318C
1000273,r_0185,"aldehyde dehydrogenase (phenylacetaldehyde, NAD)",Phenylalanine metabolism,YMR169C or YMR170C
1000274,r_0186,"aldehyde dehydrogenase (tryptophol, NAD)",Tyrosine metabolism,YBR145W or YDL168W or YOL086C
1000275,r_0187,"aldehyde dehydrogenase (tryptophol, NAD)",Tyrosine metabolism,YGL256W or YMR083W
1000276,r_0188,alkaline phosphatase (dihydroneopterin),Folate biosynthesis,YDR481C
1000277,r_0189,allantoate amidinohydrolase,Purine metabolism,YIR029W
1000278,r_0190,"allantoinase, reaction",Purine metabolism,YIR027C
1000279,r_0191,allophanate hydrolase,Arginine biosynthesis,YBR208C
1000280,r_0192,"alpha 1,2-mannosyltransferase",N-glycan biosynthesis,YBR199W or YBR205W or YDR483W or YJL139C or YKR061W or YNL029C or YOR099W or YPL053C
1000281,r_0193,"alpha,alpha-trehalase",Starch and sucrose metabolism,YPR026W or YBR001C
1000282,r_0194,"alpha,alpha-trehalase",Starch and sucrose metabolism,YDR001C
1000283,r_0195,"alpha,alpha-trehalose-phosphate synthase (UDP-forming)",Starch and sucrose metabolism,(YBR126C and YDR074W and YML100W) or (YBR126C and YDR074W and YMR261C)
1000284,r_0198,alpha-glucosidase,Starch and sucrose metabolism,YBR299W or YGR287C or YGR292W or YIL172C or YJL216C or YJL221C
1000285,r_0199,amidase,Arginine and proline metabolism,YDR242W or YMR293C
1000286,r_0200,Aminoacetone:oxygen oxidoreductase(deaminating)(flavin-containing),"Glycine, serine and threonine metabolism",
1000287,r_0201,Aminobutyraldehyde dehydrogenase,Arginine and proline metabolism,YOR374W
1000288,r_0202,anthranilate phosphoribosyltransferase,"Phenylalanine, tyrosine and tryptophan biosynthesis",YDR354W
1000289,r_0203,anthranilate synthase,"Phenylalanine, tyrosine and tryptophan biosynthesis",YER090W and YKL211C
1000290,r_0204,Ap4A hydrolase,Purine metabolism,YDR305C
1000291,r_0205,arabinose reductase,Pentose and glucuronate interconversions,YHR104W
1000292,r_0206,arginase,Arginine biosynthesis,YPL111W
1000293,r_0207,argininosuccinate lyase,Arginine biosynthesis,YHR018C
1000294,r_0208,argininosuccinate synthase,Arginine biosynthesis,YOL058W
1000295,r_0209,arginyl-tRNA synthetase,tRNA metabolism,YDR341C
1000296,r_0210,arginyl-tRNA synthetase,tRNA metabolism,YHR091C
1000297,r_0211,asparagine synthase (glutamine-hydrolysing),"Alanine, aspartate and glutamate metabolism",YGR124W or YPR145W
1000298,r_0212,Asparaginyl-tRNA synthetase,tRNA metabolism,YHR019C
1000299,r_0213,"asparaginyl-tRNA synthetase, miotchondrial",tRNA metabolism,YCR024C
1000300,r_0214,aspartate carbamoyltransferase,Pyrimidine metabolism,YJL130C
1000301,r_0215,aspartate kinase,"Glycine, serine and threonine metabolism",YER052C
1000302,r_0216,aspartate transaminase,"Alanine, aspartate and glutamate metabolism",YLR027C
1000303,r_0217,aspartate transaminase,"Alanine, aspartate and glutamate metabolism",YKL106W
1000304,r_0218,aspartate transaminase,"Alanine, aspartate and glutamate metabolism",YLR027C
1000305,r_0219,aspartate-semialdehyde dehydrogenase,"Glycine, serine and threonine metabolism",YDR158W
1000306,r_0220,Aspartyl-tRNA synthetase,tRNA metabolism,YLL018C
1000307,r_0221,Aspartyl-tRNA synthetase,tRNA metabolism,YPL104W
1000308,r_0222,ATP adenylyltransferase,Purine metabolism,YDR530C
1000309,r_0223,ATP adenylyltransferase,Purine metabolism,YCL050C
1000310,r_0224,ATP adenylyltransferase,Purine metabolism,YCL050C
1000311,r_0225,ATP phosphoribosyltransferase,Histidine metabolism,YER055C
1000312,r_0226,ATP synthase,Oxidative phosphorylation,Q0080 and Q0085 and Q0130 and YBL099W and YBR039W and YDL004W and YDR298C and YDR377W and YJR121W and YKL016C and YLR295C and YML081C-A and YPL078C and YPL271W and YDR322C-A and YPR020W and YOL077W-A
1000313,r_0227,"ATPase, cytosolic","Transport [c, e]",(YCR024C-A and YEL017C-A and YGL008C) or (YCR024C-A and YEL017C-A and YPL036W) or YER005W
1000314,r_0228,"beta-1,4 mannosyltransferase",N-glycan biosynthesis,YBR110W
1000315,r_0229,biotin synthase,Biotin metabolism,YGR286C
1000316,r_0230,biotin-[acetyl-CoA-carboxylase] ligase,Biotin metabolism,YDL141W
1000317,r_0231,C-14 sterol reductase,Steroid biosynthesis,YNL280C
1000318,r_0233,C-22 sterol desaturase (NADP),Steroid biosynthesis,YMR015C
1000319,r_0234,C-3 sterol dehydrogenase,Steroid biosynthesis,YGL001C
1000320,r_0235,C-3 sterol dehydrogenase (4-methylzymosterol),Steroid biosynthesis,YGL001C
1000321,r_0236,C-3 sterol keto reductase (4-methylzymosterol),Steroid biosynthesis,YLR100W
1000322,r_0237,C-3 sterol keto reductase (zymosterol),Steroid biosynthesis,YLR100W
1000323,r_0238,C-4 methyl sterol oxidase,Steroid biosynthesis,YGR060W
1000324,r_0239,C-4 methyl sterol oxidase,Steroid biosynthesis,YGR060W
1000325,r_0240,C-4 methyl sterol oxidase,Steroid biosynthesis,YGR060W
1000326,r_0241,"C-4 sterol methyl oxidase (4,4-dimethylzymosterol)",Steroid biosynthesis,YGR060W
1000327,r_0242,C-5 sterol desaturase,Steroid biosynthesis,YLR056W
1000328,r_0243,C-8 sterol isomerase,Steroid biosynthesis,YMR202W
1000329,r_0244,C-s24 sterol reductase,Steroid biosynthesis,YGL012W
1000330,r_0249,CAAX farnesyltransferase,Terpenoid backbone biosynthesis,YDL090C and YKL019W
1000331,r_0250,carbamoyl-phosphate synthase (glutamine-hydrolysing),Pyrimidine metabolism,YJL130C or (YJR109C and YOR303W)
1000332,r_0252,carnitine O-acetyltransferase,Carnitine metabolism,YAR035W or YER024W
1000333,r_0253,carnitine O-acetyltransferase,Carnitine metabolism,YML042W
1000334,r_0254,carnitine O-acetyltransferase,Carnitine metabolism,YML042W
1000335,r_0255,catalase,Glyoxylate and dicarboxylate metabolism,YGR088W
1000336,r_0256,catalase,Glyoxylate and dicarboxylate metabolism,YDR256C
1000337,r_0259,ceramide-1 hydroxylase (24C),Sphingolipid metabolism,YDR297W
1000338,r_0260,ceramide-1 hydroxylase (24C),Sphingolipid metabolism,YMR272C
1000339,r_0261,ceramide-1 hydroxylase (26C),Sphingolipid metabolism,YDR297W
1000340,r_0262,ceramide-1 hydroxylase (26C),Sphingolipid metabolism,YMR272C
1000341,r_0263,ceramide-1 synthase (24C),Sphingolipid metabolism,YKL008C and YHL003C and YMR298W
1000342,r_0264,ceramide-1 synthase (26C),Sphingolipid metabolism,YKL008C and YHL003C and YMR298W
1000343,r_0265,ceramide-2 synthase (24C),Sphingolipid metabolism,YKL008C and YHL003C and YMR298W
1000344,r_0266,ceramide-2 synthase (26C),Sphingolipid metabolism,YKL008C and YHL003C and YMR298W
1000345,r_0267,ceramide-3 synthase (24C),Sphingolipid metabolism,YMR272C
1000346,r_0268,ceramide-3 synthase (26C),Sphingolipid metabolism,YMR272C
1000347,r_0269,ceramide-4 synthase (24C),Sphingolipid metabolism,YMR272C
1000348,r_0270,ceramide-4 synthase (26C),Sphingolipid metabolism,YMR272C
1000349,r_0271,chitin deacetylase,Amino sugar and nucleotide sugar metabolism,YLR307W or YLR308W
1000350,r_0272,chitin synthase,Amino sugar and nucleotide sugar metabolism,YBR023C or YBR038W or YNL192W
1000351,r_0273,choline kinase,Glycerophospholipid metabolism,YLR133W
1000352,r_0274,choline phosphate cytididyltransferase,Glycerophospholipid metabolism,YGR202C
1000353,r_0278,chorismate mutase,"Phenylalanine, tyrosine and tryptophan biosynthesis",YPR060C
1000354,r_0279,chorismate synthase,"Phenylalanine, tyrosine and tryptophan biosynthesis",YGL148W
1000355,r_0280,cis-aconitate(3-) to isocitrate,Citrate cycle (TCA cycle),YLR304C
1000356,r_0281,cis-prenyltransferase step 01,Terpenoid backbone biosynthesis,YBR002C or YMR101C
1000357,r_0282,cis-prenyltransferase step 02,Terpenoid backbone biosynthesis,YBR002C or YMR101C
1000358,r_0283,cis-prenyltransferase step 03,Terpenoid backbone biosynthesis,YBR002C or YMR101C
1000359,r_0284,cis-prenyltransferase step 04,Terpenoid backbone biosynthesis,YBR002C or YMR101C
1000360,r_0285,cis-prenyltransferase step 05,Terpenoid backbone biosynthesis,YBR002C or YMR101C
1000361,r_0286,cis-prenyltransferase step 06,Terpenoid backbone biosynthesis,YBR002C or YMR101C
1000362,r_0287,cis-prenyltransferase step 07,Terpenoid backbone biosynthesis,YBR002C or YMR101C
1000363,r_0288,cis-prenyltransferase step 08,Terpenoid backbone biosynthesis,YBR002C or YMR101C
1000364,r_0289,cis-prenyltransferase step 09,Terpenoid backbone biosynthesis,YBR002C or YMR101C
1000365,r_0290,cis-prenyltransferase step 10,Terpenoid backbone biosynthesis,YBR002C or YMR101C
1000366,r_0291,cis-prenyltransferase step 11,Terpenoid backbone biosynthesis,YBR002C or YMR101C
1000367,r_0292,cis-prenyltransferase step 12,Terpenoid backbone biosynthesis,YBR002C or YMR101C
1000368,r_0293,cis-prenyltransferase step 13,Terpenoid backbone biosynthesis,YBR002C or YMR101C
1000369,r_0294,cis-prenyltransferase step 14,Terpenoid backbone biosynthesis,YBR002C or YMR101C
1000370,r_0295,cis-prenyltransferase step 15,Terpenoid backbone biosynthesis,YBR002C or YMR101C
1000371,r_0296,cis-prenyltransferase step 16,Terpenoid backbone biosynthesis,YBR002C or YMR101C
1000372,r_0297,cis-prenyltransferase step 17,Terpenoid backbone biosynthesis,YBR002C or YMR101C
1000373,r_0298,cis-prenyltransferase step 18,Terpenoid backbone biosynthesis,YBR002C or YMR101C
1000374,r_0299,cis-prenyltransferase step 19,Terpenoid backbone biosynthesis,YBR002C or YMR101C
1000375,r_0300,citrate synthase,Citrate cycle (TCA cycle),YNR001C or YPR001W
1000376,r_0301,"citrate synthase, peroxisomal",Citrate cycle (TCA cycle),YCR005C
1000377,r_0302,citrate to cis-aconitate(3-),Citrate cycle (TCA cycle),YLR304C
